자치구,동,인구,면적,인구밀도
서초구,서울특별시 서초구 방배본동,"21,293",0.67,"31,781"
서초구,서울특별시 서초구 방배1동,"17,381",0.7,"24,830"
서초구,서울특별시 서초구 방배2동,"20,404",1.93,"10,572"
서초구,서울특별시 서초구 방배3동,"21,441",2.4,"8,934"
서초구,서울특별시 서초구 방배4동,"24,036",0.98,"24,527"
서초구,서울특별시 서초구 양재1동,"44,890",5.76,"7,793"
서초구,서울특별시 서초구 양재2동,"22,709",7.58,"2,996"
서초구,서울특별시 서초구 내곡동,"18,146",12.68,"1,431"
강남구,서울특별시 강남구 신사동,"16,914",1.89,"8,949"
강남구,서울특별시 강남구 논현1동,"23,734",1.25,"18,987"
강남구,서울특별시 강남구 논현2동,"21,997",1.47,"14,964"
강남구,서울특별시 강남구 삼성1동,"13,600",1.94,"7,010"
강남구,서울특별시 강남구 삼성2동,"30,368",1.24,"24,490"
강남구,서울특별시 강남구 대치1동,"24,922",0.79,"31,547"
강남구,서울특별시 강남구 대치4동,"20,744",0.73,"28,416"
강남구,서울특별시 강남구 역삼1동,"36,771",2.35,"15,647"
강남구,서울특별시 강남구 역삼2동,"37,291",1.15,"32,427"
강남구,서울특별시 강남구 도곡1동,"22,227",1.02,"21,791"
강남구,서울특별시 강남구 도곡2동,"34,042",1.02,"33,375"
강남구,서울특별시 강남구 개포1동,"6,670",1.27,"5,252"
강남구,서울특별시 강남구 개포4동,"22,765",1.49,"15,279"
강남구,서울특별시 강남구 일원본동,"23,945",2.58,"9,281"
강남구,서울특별시 강남구 일원1동,"15,827",0.92,"17,203"
강남구,서울특별시 강남구 일원2동,"17,709",1.24,"14,281"
강남구,서울특별시 강남구 수서동,"15,299",1.43,"10,699"
강남구,서울특별시 강남구 세곡동,"44,475",6.36,"6,993"
강남구,서울특별시 강남구 압구정동,"27,440",2.53,"10,846"
강남구,서울특별시 강남구 청담동,"27,266",2.33,"11,702"
강남구,서울특별시 강남구 대치2동,"37,752",2,"18,876"
